"Code"|"Name"|"Designator"|"Template"
"375"|"Jetstar Asia Airways Pte Ltd"|"3K"|""
"376"|"Seaborne  Airlines"|"BB"|""
"377"|"WOW Air ehf"|"WW"|""
"378"|"Cayman Airways Limited"|"KX"|""
"379"|"Taron Avia LLC"|"H7"|""
"381"|"Air Cairo"|"SM"|""
"383"|"Binter Cabo Verde Sociedade Unipess S.A."|"3B"|""
"384"|"Kam Air"|"RQ"|""
"386"|"NewGen Airways Company Limited dba NewGen Airways"|"E3"|""
"388"|"Tiger Airways Singapore Pte. Ltd"|"TR"|""
"389"|"Yunnan Hong Tu Airlines Co. Ltd."|"A6"|""
"390"|"Aegean Airlines"|"A3"|""
"391"|"Maya Island Air"|"2M"|""
"392"|"Travel Technology Interactive SA"|"Y1"|""
"393"|"Syphax Airlines S A"|"SO"|""
"394"|"Africa World Airlines Limited"|"AW"|"LEAN"
"395"|"Turistik Hava Tasimacilik A.S.(Corendon Airlines)"|"XC"|""
"396"|"French Bee dba French Bee"|"BF"|""
"398"|"Grand Canyon Airlines, Inc. dba Scenic Airlines"|"YR"|""
"400"|"Mega Global Air Services (Maldives) Pvt Ltd t/a Me"|"LV"|""
"402"|"Atlantique Air Assistance"|"L5"|""
"404"|"Blue Bird Airways"|"BZ"|""
"407"|"Zapways, Inc."|"R1"|""
"408"|"Mistral Air S.r.l."|"M4"|""
"409"|"Montenegro Airlines"|"YM"|""
"411"|"NIKI Luftfahrt GmbH"|"HG"|""
"413"|"Aircompany Somon Air LLC"|"SZ"|""
"414"|"Trans States Airlines, LLC"|"AX"|""
"415"|"Mokulele Flight Service"|"MW"|""
"416"|"National Air Cargo Group, Inc. dba National Airlines"|"N8"|""
"418"|"Flair Airlines Ltd."|"F8"|""
"419"|"Azman Air Services LTD"|"ZQ"|""
"421"|"JSC Siberia Airlines dba S7 airlines"|"S7"|""
"422"|"Frontier Airlines, Inc."|"F9"|""
"425"|"Pobeda Airlines LLC"|"DP"|""
"426"|"Colgan Air"|"9L"|""
"427"|"Air Caraibes"|"TX"|""
"428"|"Alpha Air Transportdba Commercial Aviation Services"|"7U"|""
"429"|"Med View Airline PLC"|"VL"|""
"430"|"Endeavor Air"|"9E"|""
"431"|"JSC AIR LITUANICA"|"LT"|""
"432"|"Atlantis Armenian Airlines LLC"|"TD"|""
"433"|"Privilege Style S.A."|"P6"|""
"434"|"Utair - Express Limited Company"|"UR"|""
"436"|"FAR EASTERN AIR TRANSPORT CORP."|"FE"|""
"437"|"Aircompany Armenia LLC"|"RM"|""
"439"|"Aigle Azur"|"ZI"|""
"440"|"Groupe Air Senegal (Senegal Airlines)"|"DN"|""
"441"|"Vee H Aviation Pty Ltd."|"FC"|""
"442"|"Air Finland Ltd."|"S8"|""
"443"|"DART Limited trust distribution"|"D4"|""
"445"|"Compania de Aviacion Paraguaya S.A dba Paranair"|"ZP"|""
"446"|"JSC "Sirena-Travel""|"1H"|""
"447"|"CJSC "East Air""|"EG"|""
"448"|"Jetgo Australia Holdings Pty Ltd."|"JG"|""
"449"|"Silver Airways Corp"|"3M"|""
"450"|"AccesRail and Partner Railways"|"9B"|""
"451"|"Porter Airlines Inc."|"PD"|""
